trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-180.71280153989707,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",35,0,-134.18937603723222,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-136.8316538724926,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,8,-18.184925191430633,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-195.10819863899894,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,7,-4.145174173958086,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-98.58774815548574,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-94.29598255176575,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-93.61046834707398,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-260.0418296059485,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-156.96824541295754,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-124.88365592887432,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",35,3,-76.44158490983956,"{0: 23, 1: 2, 2: 4, 3: 3, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-92.08293056341837,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",35,0,-91.85793561268467,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-49.418046373664545,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-54.13922457424612,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-137.18134618033952,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-75.564988312951,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,3,-42.69226948582899,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-145.56910130343974,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-46.01740544386939,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-46.15299995625642,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-150.1833173497771,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-125.81854804343908,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,17,3.8214980257168953,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-40.67428916442443,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-14.877027120611906,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-137.47787378882893,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,10,3.1659413722487844,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-85.48882665562151,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",25,0,-42.549258476267106,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-123.37973080713809,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,0,-150.8419265662484,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",30,0,-154.15881207063345,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,2,-93.73915679931928,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",30,0,-27.98631182769292,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-60.44946743958722,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,16,6.721337568340839,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,8.621087059352513,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,8,-29.21419991363277,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-38.34682022552575,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-56.392963397953594,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,1,-69.08858086625244,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,6,-88.01780641644098,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-59.73040667347972,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-49.78881209098897,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-85.59721988786417,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,12,4.940044308791821,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-113.30419265874619,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,0,-154.53786231588674,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,10,7.127660390002264,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,0,-103.82810369069347,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-65.77431723215334,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-92.97158078253625,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-28.52098232882873,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,0,1.583302451537792,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,6,-90.64586591772773,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-21.704512452606576,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-5.654607697030091,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",30,0,-73.09651659937066,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,7,-17.684216960210417,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-102.89038324013072,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,2,-50.774687569213604,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,6,-24.5573548363481,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,12,-51.508611237440746,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",35,12,-94.85093462540956,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,0,4.788527861723748,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,0,-96.3936587492731,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,6,-0.7321486462972187,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,14,-8.880696014150443,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,8,8.363796577083754,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,3,0.6429521361023116,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,0,-57.36651135619503,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,0,-27.471398136168556,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",35,0,-143.21911669173585,"{0: 25, 1: 2, 2: 3, 3: 3, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,5,24.137573718555466,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,11,14.46049074882665,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,0,-29.53056843012017,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,6.947665962117998,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,-76.4080158375454,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,0,-72.33734666095725,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,0,-69.12925374590512,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",30,0,-96.2330836371022,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",30,18,1.590170879298401,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,0,11.137577006779829,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,2,-15.852879429806118,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,-83.93576581921876,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,0,-14.692395291181654,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",30,12,-62.0784190658596,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,0,-39.49004676625103,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,4,-10.056434256051535,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
