trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.35037702846713,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.14431493163248,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.77439956070843,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.6037861141441,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,8,-67.137937710037,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-93.67527689530361,"{0: 6, 1: 4, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.16365503170562,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.98812569419738,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.2238962669619,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.801257067101,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.09191478209985,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-262.4836014295278,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.48240125935598,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.21412789003774,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.58718416397784,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.54432325859453,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.66654961358464,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.17983139112079,"{0: 11, 1: 0, 2: 4, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.14785246201495,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.23382280481431,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.37249902128964,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.16278593842236,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.68979435003925,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.1964962012223,"{0: 9, 1: 9, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.71908777415918,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.15876361482799,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-197.71453689727483,"{0: 23, 1: 3, 2: 5, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.42698462304472,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.61218842472556,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.67481454523,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
